X99.7,Not known
X65.3,Delivery of a fraction of interstitial radiotherapy
X65.4,Delivery of a fraction of external beam radiotherapy NEC
X65.5,Oral delivery of radiotherapy for thyroid ablation
X65.8,Other specified radiotherapy delivery
X65.9,Unspecified radiotherapy delivery
X66.1,Cognitive behavioural therapy by unidisciplinary team
X66.2,Cognitive behavioural therapy by multidisciplinary team
X66.8,Other specified cognitive behavioural therapy
X66.9,Unspecified cognitive behavioural therapy
X67.1,Preparation for intensity modulated radiation therapy
X67.2,Preparation for total body irradiation
X67.3,Preparation for hemi body irradiation
X67.4,Preparation for simple radiotherapy with imaging and dosimetry
X67.5,Preparation for simple radiotherapy with imaging and simple calculation
X67.6,Preparation for superficial radiotherapy with simple calculation
X67.7,Preparation for complex conformal radiotherapy
X67.8,Other specified preparation for external beam radiotherapy
X67.9,Unspecified preparation for external beam radiotherapy
X68.1,Preparation for intraluminal brachytherapy
X68.2,Preparation for intracavitary brachytherapy
X68.3,Preparation for interstitial brachytherapy
X68.8,Other specified preparation for brachytherapy
X68.9,Unspecified preparation for brachytherapy
X70.1,Procurement of drugs for chemotherapy for neoplasm for regimens in Band 1
X70.2,Procurement of drugs for chemotherapy for neoplasm for regimens in Band 2
X70.3,Procurement of drugs for chemotherapy for neoplasm for regimens in Band 3
X70.4,Procurement of drugs for chemotherapy for neoplasm for regimens in Band 4
X70.5,Procurement of drugs for chemotherapy for neoplasm for regimens in Band 5
X70.8,Other specified procurement of drugs for chemotherapy for neoplasm in Bands 1-5
X70.9,Unspecified procurement of drugs for chemotherapy for neoplasm in Bands 1-5
X71.1,Procurement of drugs for chemotherapy for neoplasm for regimens in Band 6
X71.2,Procurement of drugs for chemotherapy for neoplasm for regimens in Band 7
X71.3,Procurement of drugs for chemotherapy for neoplasm for regimens in Band 8
X71.4,Procurement of drugs for chemotherapy for neoplasm for regimens in Band 9
X71.5,Procurement of drugs for chemotherapy for neoplasm for regimens in Band 10
X71.8,Other specified procurement of drugs for chemotherapy for neoplasm in Bands 6-10
X72.1,Delivery of complex chemotherapy for neoplasm including prolonged infusional treatment at first attendance
X72.2,Delivery of complex parenteral chemotherapy for neoplasm at first attendance
X72.3,Delivery of simple parenteral chemotherapy for neoplasm at first attendance
X72.4,Delivery of subsequent element of cycle of chemotherapy for neoplasm
X72.8,Other specified delivery of chemotherapy for neoplasm
X72.9,Unspecified delivery of chemotherapy for neoplasm
X73.1,Delivery of exclusively oral chemotherapy for neoplasm
X73.8,Other specified delivery of oral chemotherapy for neoplasm
X73.9,Unspecified delivery of oral chemotherapy for neoplasm
X81.9,Unspecified high cost gastrointestinal drugs
X82.1,Primary pulmonary hypertension drugs Band 1
X82.2,Primary pulmonary hypertension drugs Band 2
X82.3,Primary pulmonary hypertension drugs Band 3
X82.4,Primary pulmonary hypertension drugs Band 4
X82.9,Unspecified high cost hypertension drugs
X83.1,Blood products Band 1
X83.2,Blood products Band 2
X83.3,Fibrinolytic drugs Band 1
X83.8,Other specified high cost other cardiovascular drugs
X84.1,Medical gases Band 1
X84.2,Pulmonary surfactant drugs Band 1
X84.3,Mucolytic drugs Band 1
X84.8,Other specified high cost respiratory drugs
X85.1,Torsion dystonias and other involuntary movements drugs Band 1
X85.2,Amyotrophic lateral sclerosis drugs Band 1
X86.1,Antifungal drugs Band 1
X86.2,Antifungal drugs Band 2
X86.3,Hepatitis B treatment drugs Band 1
X86.4,Respiratory syncytial virus treatment and Hepatitis C treatment drugs Band 1
X86.5,Respiratory syncytial virus prevention drugs Band 1
X86.6,Antiviral drugs Band 1
X86.7,Cytomegalovirus drugs Band 1
X86.8,Other specified high cost anti-infective drugs
X86.9,Unspecified high cost anti-infective drugs
X87.1,Growth hormone receptor antagonist drugs Band 1
X87.2,Growth hormone analogue drugs Band 1
X87.3,Bone metabolism drugs Band 1
X87.8,Other specified high cost endocrinology drugs
X88.8,Other specified high cost reproductive and urinary tract drugs
X88.9,Unspecified high cost reproductive and urinary tract drugs
X89.1,Monoclonal antibodies Band 1
X89.2,Monoclonal antibodies Band 2
X89.3,Immunomodulating drugs Band 1
X89.4,Somatostatin analogues Band 1
X89.5,Allergic emergency drugs Band 1
X89.8,Other specified high cost immunosuppressant drugs
X89.9,Unspecified high cost immunosuppressant drugs
X90.1,Hypoplastic haemolytic and renal anaemia drugs Band 1
X90.2,Hypoplastic haemolytic and renal anaemia drugs Band 2
X90.3,Neutropenia drugs Band 1
X90.4,Intravenous nutrition Band 1
X90.5,Platelet disorder drugs Band 1
X90.6,Protein tyrosine kinase inhibitors Band 1
X90.7,Myelodysplastic syndrome drugs Band 1
X90.8,Other specified high cost haematology and nutrition drugs
X90.9,Unspecified high cost haematology and nutrition drugs
X91.1,Metabolic disorder drugs Band 1
X91.2,Metabolic disorder drugs Band 2
X91.3,Metabolic disorder drugs Band 3
X91.4,Metabolic disorder drugs Band 4
X92.1,Cytokine inhibitor drugs Band 1
X92.2,Hyperuricaemia drugs Band 1
X92.3,Bone morphogenetic proteins Band 1
X92.8,Other specified high cost musculoskeletal drugs
X92.9,Unspecified high cost musculoskeletal drugs
X93.1,Subfoveal choroidal neovascularisation drugs Band 1
X93.8,Other specified high cost ophthalmology drugs
X93.9,Unspecified high cost ophthalmology drugs
X95.1,Immune response drugs Band 1
X96.1,Immunoglobulins Band 1
X96.2,Allergen immunotherapy drugs Band 1
X96.8,Other specified high cost immunology drugs
Y02.2,Insertion of prosthesis into organ NOC
Y02.9,Unspecified placement of prosthesis in organ NOC
Y03.1,Maintenance of prosthesis in organ NOC
Y03.2,Renewal of prosthesis in organ NOC
Y03.3,Correction of displacement of prosthesis NOC
Y03.6,Adjustment to prosthesis in organ NOC
Y03.7,Removal of prosthesis from organ NOC
Y03.8,Other specified attention to prosthesis in organ NOC
Y04.8,Other specified replantation of organ NOC
Y04.9,Unspecified replantation of organ NOC
Y05.2,Partial excision of organ NOC
Y05.3,Excision of sinus track from organ NOC
Y05.5,Debridement of organ NOC
Y05.9,Unspecified excision of organ NOC
Y07.3,Obliteration of sinus track from organ NOC
Y08.1,Laser excision of organ NOC
Y08.2,Laser excision of lesion of organ NOC
Y08.3,Laser destruction of organ NOC
Y08.4,Laser destruction of lesion of organ NOC
Y08.6,Laser incision of organ NOC
Y08.8,Other specified laser therapy to organ NOC
Y08.9,Unspecified laser therapy to organ NOC
Y09.1,Injection of sclerosing substance into organ NOC
Y09.2,Injection of other destructive substance into organ NOC
Y11.1,Cauterisation of organ NOC
Y11.2,Cryotherapy to organ NOC
Y11.3,Curettage of organ NOC
Y11.8,Other specified other destruction of organ NOC
Y12.2,Injection of other destructive substance into lesion of organ NOC
Y13.1,Cauterisation of lesion of organ NOC
Y13.2,Cryotherapy to lesion of organ NOC
Y13.4,Radiofrequency controlled thermal destruction of lesion of organ NOC
Y13.6,Photodynamic therapy of lesion of organ NOC
Y13.8,Other specified other destruction of lesion of organ NOC
Y14.1,Insertion of expanding covered metal stent into organ NOC
Y14.3,Insertion of metal stent into organ NOC
Y15.2,Renewal of stent in organ NOC
Y18.1,Freeing of adhesions of organ NOC
Y18.8,Other specified release of organ NOC
Y18.9,Unspecified release of organ NOC
Y20.1,Stereotactic biopsy of lesion of organ NOC
Y20.3,Biopsy of lesion of organ NOC
Y20.4,Fine needle aspiration NOC
Y20.6,Plugged biopsy NOC
Y20.8,Other specified biopsy of organ NOC
Y20.9,Unspecified biopsy of organ NOC
Y21.1,Brush cytology of organ NOC
Y21.8,Other specified cytology of organ NOC
Y21.9,Unspecified cytology of organ NOC
Y22.1,Aspiration of haematoma of organ NOC
Y22.2,Aspiration of other lesion of organ NOC
Y22.3,Irrigation of organ NOC
Y22.8,Other specified drainage of organ NOC
Y22.9,Unspecified drainage of organ NOC
Y24.1,Microvascular reconstruction of organ NOC
Y24.2,Attention to microvascular repair of organ NOC
Y24.8,Other specified microvascular repair of organ NOC
Y24.9,Unspecified microvascular repair of organ NOC
Y25.4,Removal of other suture from organ NOC
Y25.5,Other attention to suture of organ NOC
Y26.2,Plastic repair of organ NOC
Y26.3,Stapling of organ NOC
Y27.1,Autograft to organ NOC
Y27.4,Attention to graft of organ NOC
Y27.5,Vein graft NOC
Y27.8,Other specified graft to organ NOC
Y30.9,Unspecified incision of organ NOC
Y31.9,Unspecified exploration of organ NOC
Y32.1,Re-exploration of organ and surgical arrest of postoperative bleeding NOC
Y32.3,Re-exploration of organ and packing of organ NOC
Y32.8,Other specified re-exploration of organ NOC
Y32.9,Unspecified re-exploration of organ NOC
Y33.1,Acupuncture of organ NOC
Y33.2,Drilling of organ NOC
Y33.8,Other specified puncture of organ NOC
Y33.9,Unspecified puncture of organ NOC
Y36.1,Introduction of gold seeds into organ NOC
Y36.3,Radioactive seed implantation NOC
Y36.8,Other specified introduction of non-removable material into organ NOC
Y36.9,Unspecified introduction of non-removable material into organ NOC
Y37.1,Introduction of photodynamic substance into organ NOC
Y37.8,Other specified
Y38.1,Continuous injection of therapeutic substance into organ NOC
Y38.8,Other specified injection of therapeutic substance into organ NOC
Y38.9,Unspecified injection of therapeutic substance into organ NOC
Y39.3,Injection of inert substance into organ NOC
Y39.8,Other specified injection of other substance into organ NOC
Y40.1,Dilation of stricture of organ NOC
Y40.8,Other specified dilation of organ NOC
Y40.9,Unspecified dilation of organ NOC
Y41.1,Examination of organ under anaesthetic NOC
Y41.8,Other specified examination of organ NOC
Y41.9,Unspecified examination of organ NOC
Y42.1,External manipulation of organ NOC
Y44.2,Monitoring of pressure in organ NOC
Y44.8,Other specified other methods of operation on organ NOC
Y46.8,Other specified open approach to contents of cranium
Y47.3,Transoral burrhole approach to contents of cranium
Y48.2,Laminectomy approach to thoracic spine
Y49.1,Median sternotomy approach
Y50.2,Laparotomy approach NEC
Y50.3,Vaginal approach
Y50.8,Other specified approach through abdominal cavity
Y50.9,Unspecified approach through abdominal cavity
Y52.3,Approach to organ through cystostomy
Y52.4,Peranal transrectal approach to organ
Y52.8,Other specified approach to organ through other opening
Y53.1,Approach to organ under radiological control
Y53.2,Approach to organ under ultrasonic control
Y53.3,Approach to organ under CT scan control
Y53.4,Approach to organ under fluoroscopic control
Y53.5,Approach to organ under image intensifier
Y53.8,Other specified approach to organ under image control
Y53.9,Unspecified approach to organ under image control
Y55.3,Harvest of random pattern flap of skin from arm NEC
Y55.9,Unspecified harvest of random pattern flap of skin from limb
Y58.8,Other specified harvest of skin for graft
Y58.9,Unspecified harvest of skin for graft
Y60.8,Other specified other harvest of fascia
Y61.9,Unspecified harvest of flap of skin and muscle of trunk
Y62.1,Harvest of flap of skin and sternomastoid muscle
Y62.2,Harvest of flap of skin and tensor fasciae latae muscle
Y62.3,Harvest of flap of skin and gastrocnemius muscle
Y63.8,Other specified harvest of flap of muscle of trunk
